"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"conhost","1","213","2203471818752","11337728","7360512","12360","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.28125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4328","Microsoft.Win32.SafeHandles.SafeProcessHandle","213","7076",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12360","12360","7360512","7360512","222736","222736","7520256","7520256","19140608","19140608","164622336","2203482845184","True","Normal","7360512","7360512","00:00:00.2031250","conhost","15","True","1","System.Diagnostics.ProcessStartInfo","8/28/2025 12:15:49 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2812500","00:00:00.0781250","153595904","2203471818752","False",,,,"11337728","11337728",,
"conhost","1","269","2203496394752","25174016","7524352","13992","C:\Windows\system32\conhost.exe","Microsoft Corporation","8.9375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3928","Microsoft.Win32.SafeHandles.SafeProcessHandle","269","8324",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13992","13992","7524352","7524352","258128","258128","8806400","8806400","39059456","39059456","191381504","2203509604352","True","Normal","7524352","7524352","00:00:07.0468750","conhost","15","True","1","System.Diagnostics.ProcessStartInfo","8/28/2025 11:40:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.9375000","00:00:01.8906250","178171904","2203496394752","False",,,,"25174016","25174016",,
"ctfmon","1","429","2203468152832","20033536","4096000","16360",,,"2.171875",,,,,"Process","13",,,,,,"429","10768",".","0","",,,,,"16360","16360","4096000","4096000","218448","218448","4206592","4206592","21250048","21250048","159907840","2203478130688",,,"4096000","4096000","00:00:01.4375000","ctfmon",,"True","1","System.Diagnostics.ProcessStartInfo","8/28/2025 1:41:05 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.1718750","00:00:00.7343750","149929984","2203468152832","False",,,,"20033536","20033536",,
"dllhost","1","245","2203470110720","12353536","4116480","17264","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.359375","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"6408","Microsoft.Win32.SafeHandles.SafeProcessHandle","245","3028",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17264","17264","4116480","4116480","154064","154064","6311936","6311936","14626816","14626816","164859904","2203483082752","True","Normal","4116480","4116480","00:00:00.2656250","dllhost","15","True","1","System.Diagnostics.ProcessStartInfo","8/28/2025 1:41:33 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3593750","00:00:00.0937500","151887872","2203470110720","False",,,,"12353536","12353536",,
"dllhost","1","128","2203405737984","7475200","1445888","7744","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.1875","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3752","Microsoft.Win32.SafeHandles.SafeProcessHandle","128","4728",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7744","7744","1445888","1445888","101928","101928","1667072","1667072","7622656","7622656","92758016","2203410980864","True","Normal","1445888","1445888","00:00:00.1093750","dllhost","15","True","1","System.Diagnostics.ProcessStartInfo","8/28/2025 12:16:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.0781250","87515136","2203405737984","False",,,,"7475200","7475200",,
